Subject_ID,Session_ID,Round_ID,Condition,Agent_Utility,Human_Utility,Raw_Arousal,Raw_Valence,Max_Arousal,Min_Arousal,Max_Valence,Min_Valence,Bidder,Agent_Move,User_Move,Scaled_Time,Norm_Arousal,Norm_Valence
50,2,16,CL,0.775,0.6,-0.1383587568998336,-0.1349552124738693,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Agent,unfortunate,,0.3766244444444444,-0.0514476476123118,-0.0477007980997599
50,2,17,CL,0.35,0.825,-0.069207839667797,-0.0538703240454196,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Human,,nice,0.4066522222222222,0.0246783105349694,0.0415628743135603
50,2,18,CL,0.775,0.75,-0.069207839667797,-0.0538703240454196,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Agent,nice,,0.4244688888888889,0.0246783105349694,0.0415628743135603
50,2,19,CL,0.65,0.8,-0.8227761387825012,-0.8223239779472351,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Human,,concession,0.4567844444444444,-0.8049001114985564,-0.8044023425867457
50,2,20,CL,,,-0.8227761387825012,-0.8223239779472351,0.8167500000000001,-1.0,0.8167500000000001,-1.0,,,,,-0.8049001114985564,-0.8044023425867457
51,1,1,FC,0.55,0.75,0.0,0.0,0.0,0.0,0.0,0.0,Human,,,0.05792111111111111,0.0,0.0
51,1,2,FC,0.875,0.525,0.0,0.0,0.0,0.0,0.0,0.0,Agent,,,0.0657,0.0,0.0
51,1,3,FC,0.55,0.75,0.3151222467422485,-0.402941346168518,0.746477484703064,-0.6110227704048157,0.6754582524299622,-0.8920132517814636,Human,,silent,0.1123644444444444,0.3151222467422485,-0.402941346168518
51,1,4,FC,0.725,0.725,0.3151222467422485,-0.402941346168518,0.746477484703064,-0.6110227704048157,0.6754582524299622,-0.8920132517814636,Agent,concession,,0.1256988888888889,0.3151222467422485,-0.402941346168518
51,1,5,FC,0.475,0.825,0.3250618577003479,-0.316672146320343,0.746477484703064,-0.6110227704048157,0.6754582524299622,-0.8920132517814636,Human,,selfish,0.2079211111111111,0.3250618577003479,-0.316672146320343
51,1,6,FC,0.75,0.625,0.3250618577003479,-0.316672146320343,0.746477484703064,-0.6110227704048157,0.6754582524299622,-0.8920132517814636,Agent,selfish,,0.2201433333333333,0.3250618577003479,-0.316672146320343
51,1,7,FC,0.7,0.725,-0.0038582342676818,-0.1143541485071182,0.746477484703064,-0.6110227704048157,0.6754582524299622,-0.8920132517814636,Human,,concession,0.2579266666666667,-0.0038582342676818,-0.1143541485071182
51,1,8,FC,,,-0.0038582342676818,-0.1143541485071182,0.746477484703064,-0.6110227704048157,0.6754582524299622,-0.8920132517814636,,,,,-0.0038582342676818,-0.1143541485071182
51,2,1,CL,0.475,0.95,0.0,0.0,0.0,0.0,0.0,0.0,Human,,,0.06398111111111111,0.0,0.0
51,2,2,CL,0.85,0.525,0.0,0.0,0.0,0.0,0.0,0.0,Agent,,,0.07175333333333334,0.0,0.0
