Subject_ID,Session_ID,Condition,Agent_Utility,Human_Utility,Agreement_Rounds,Raw_Arousal,Raw_Valence,Max_Arousal,Min_Arousal,Max_Valence,Min_Valence,Norm_Arousal,Norm_Valence,Concession_Rate,Nice_Rate,Fortunate_Rate,Unfortunate_Rate,Selfish_Rate,Silent_Rate
29,1,CL,0.8,0.8,3,-0.024294273182749748,-0.0254866074770689,0.5100674271583557,-0.41952585601806636,0.5100674271583557,-0.41952585601806636,0.0516120447196198,-0.07589613729476892,1.0,0.0,0.0,0.0,0.0,0.0
29,2,FC,0.75,0.775,8,-0.012925865252812705,0.07078536196301381,0.7367640614509583,-0.7865000000000002,0.7367640614509583,-0.7865000000000002,-0.013566245557740289,0.06711667968193065,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0
30,1,CL,0.725,0.725,4,-0.01992734835948795,-0.017238277127034962,0.44288358342647555,-0.75,0.44288358342647555,-0.75,0.18830049786241507,0.17850109772068068,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0
30,2,FC,0.8,0.8,8,0.045242090505780645,-0.011385131918359544,0.7146562500000001,-0.875,0.7146562500000001,-0.875,0.04524209050578062,-0.011385131918359525,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0
31,1,CL,0.7,0.85,11,0.02450904129496352,0.02045005081560124,0.6767666069377555,-0.9090909090909091,0.6767666069377555,-0.9090909090909091,0.23883516848219785,0.1587028031866403,0.3,0.0,0.1,0.3,0.2,0.1
31,2,FC,0.675,0.8,15,0.04135795562891371,-0.08204456148990269,0.7604224137931034,-0.9310344827586207,0.7604224137931034,-0.9310344827586207,0.04063917338547372,-0.08515533221264675,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.07142857142857142
32,1,CL,0.7,0.85,8,0.07296942127868532,0.07227530633099377,0.6544003039598465,-0.3397455928666534,0.6544003039598465,-0.3397455928666534,0.37211353516103635,-0.148861954488298,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
32,2,FC,0.675,0.8,13,0.025459009509247083,0.00023834098381204607,0.6903563646169809,-0.4425458682159975,0.6903563646169809,-0.4425458682159975,0.025459009509247073,0.000238340983812029,0.0,0.0,0.16666666666666666,0.25,0.0,0.5833333333333334
33,1,CL,0.7,0.85,13,-0.10188094112090766,-0.09792323313653468,0.6385498368835449,-0.7523029934709207,0.6385498368835449,-0.7523029934709207,0.010519485007148837,-0.05979697971101931,0.25,0.0,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.16666666666666666
33,2,FC,0.55,0.925,29,-0.045362136551532255,0.1198207528234042,0.7983697464548309,-0.9655172413793104,0.7983697464548309,-0.9655172413793104,-0.04536213655153221,0.1198207528234042,0.10714285714285714,0.0,0.17857142857142858,0.10714285714285714,0.21428571428571427,0.39285714285714285
34,1,CL,0.85,0.65,2,0.0485722323258718,0.04790087540944416,0.17896143595377603,-0.13236159086227417,0.17896143595377603,-0.13236159086227417,0.01396503754713295,0.07902066581868705,1.0,0.0,0.0,0.0,0.0,0.0
34,2,FC,0.8,0.675,5,-0.0394383167847991,0.11991146355867385,0.4295074462890625,-0.317667818069458,0.4295074462890625,-0.317667818069458,-0.03943831678479905,0.11991146355867383,0.0,0.0,0.5,0.25,0.25,0.0
35,1,CL,0.775,0.625,9,0.07268239601570017,0.07025436103782233,0.6904598194010118,-0.3543432407519397,0.6904598194010118,-0.3543432407519397,0.3301710585887242,-0.17131837324170165,0.375,0.0,0.125,0.25,0.25,0.0
35,2,FC,0.75,0.775,8,-0.06036887550726532,0.2295287111774087,0.68470598757267,-0.35139038041234016,0.68470598757267,-0.35139038041234016,-0.06036887550726528,0.2295287111774087,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0
36,1,CL,0.725,0.725,13,-0.00045005705207586897,0.00031504580751061633,0.7090161776542664,-0.8472507908059583,0.7090161776542664,-0.8472507908059583,0.2575755664637161,0.08262419117809777,0.3333333333333333,0.0,0.0,0.25,0.4166666666666667,0.0
36,2,FC,0.8,0.8,5,-0.07716465443372726,0.04045326393097639,0.6165358066558838,-0.8,0.6165358066558838,-0.8,-0.07716465443372723,0.04045326393097639,0.0,0.0,0.5,0.5,0.0,0.0
37,1,FC,0.675,0.8,8,0.07196311503648758,-0.037294145921866084,0.4618805726369222,-0.6557083447774251,0.4618805726369222,-0.6557083447774251,0.08298855507746335,-0.05222649546340108,0.2857142857142857,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0
